URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Complex Word Count,Word Count,Syllables Per Word,Personal Pronouns,Avg Word Length
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,154.0,48.0,0.5247524726497402,0.07434670589828977,14.3,32.94074346705926,18.896297386823704,895.0,2717.0,2.1188811188811187,2.0,6.340449024659551
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,20.0,6.0,0.5384615177514801,0.052208835236528445,9.576923076923077,29.518072289156628,15.637998146431881,147.0,498.0,2.1265060240963853,1.0,6.471887550200803
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,36.0,14.0,0.4399999912000002,0.055370985542224825,14.564516129032258,22.48062015503876,14.81805451362841,203.0,903.0,1.9446290143964562,1.0,6.094130675526024
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,13.0,7.0,0.29999998500000075,0.042553191398823,8.867924528301886,28.723404255319153,15.036531513448416,135.0,470.0,2.048936170212766,1.0,6.342553191489362
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,25.0,4.0,0.7241379060642101,0.03314285710497959,17.857142857142858,25.142857142857146,17.2,220.0,875.0,1.8834285714285715,1.0,5.676571428571428
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,10.0,11.0,-0.04761904535147403,0.0468749998953683,8.452830188679245,29.017857142857146,14.988274932614557,130.0,448.0,2.0223214285714284,1.0,6.185267857142857
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,7.0,4.0,0.2727272479338866,0.03179190742256674,11.931034482758621,26.011560693641616,15.177038070560096,90.0,346.0,1.9132947976878614,1.0,6.144508670520231
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,8.0,3.0,0.4545454132231443,0.02827763488874644,15.56,21.85089974293059,14.964359897172237,85.0,389.0,1.8277634961439588,1.0,5.850899742930591
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,8.0,15.0,-0.3043478128544429,0.04946236548502717,18.6,19.56989247311828,15.267956989247313,91.0,465.0,1.7333333333333334,1.0,5.458064516129032
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,26.0,10.0,0.44444443209876583,0.05020920495089372,24.724137931034484,30.543933054393307,22.107228394171116,219.0,717.0,2.0655509065550905,4.0,6.214783821478382
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,30.0,10.0,0.49999998750000035,0.08130081284288453,9.283018867924529,27.439024390243905,14.688817303267374,135.0,492.0,2.0304878048780486,1.0,6.270325203252033
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,18.0,8.0,0.3846153698224858,0.03367875643305861,22.705882352941178,18.523316062176164,16.491679366046935,143.0,772.0,1.7564766839378239,1.0,5.3717616580310885
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,17.0,4.0,0.6190475895691624,0.03359999994624,31.25,22.56,21.524,141.0,625.0,1.7936,8.0,5.3152
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,30.0,11.0,0.4634146228435458,0.054304635689662734,26.03448275862069,23.311258278145697,19.738296414706554,176.0,755.0,1.9033112582781457,11.0,5.829139072847682
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,26.0,9.0,0.4857142718367351,0.04342431756398968,21.783783783783782,21.21588089330025,17.199865870833612,171.0,806.0,1.794044665012407,20.0,5.513647642679901
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,35.0,6.0,0.7073170559190962,0.04869358664050643,22.157894736842106,19.121140142517813,16.511613951743968,161.0,842.0,1.7256532066508314,5.0,5.381235154394299
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,20.0,5.0,0.599999976000001,0.03086419749276025,18.0,20.123456790123456,15.249382716049382,163.0,810.0,1.7296296296296296,8.0,5.360493827160494
bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,28.0,13.0,0.3658536496133256,0.04380341875662028,24.0,17.52136752136752,16.60854700854701,164.0,936.0,1.7179487179487178,1.0,5.416666666666667
bctech2029,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,42.0,12.0,0.55555554526749,0.053624627553500864,22.377777777777776,22.045680238331677,17.76938320644378,222.0,1007.0,1.7894736842105263,16.0,5.519364448857994
